round,dataset,scenario,method_or_configuration,seed,metric,value,status,comparison_class,paper_role,source_file,source_row_or_key,source_sha256,scientific_status,notes
E1,Balanced,balanced_no_harm,FedAvg-Window,28003,Tail_RMSE,8.408612100614448,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedavg_window_28003_20260803_100825_701178,,VALID,
E1,Balanced,balanced_no_harm,FedAvg-Window,28003,Delta_group,0.1715996009311607,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedavg_window_28003_20260803_100825_701178,,VALID,
E1,Balanced,balanced_no_harm,FedAvg-Window,28003,Delta_c_s,0.604553937994349,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedavg_window_28003_20260803_100825_701178,,VALID,
E1,Balanced,balanced_no_harm,FedAvg-Window,28003,RMSE_rho,7.089921854122442,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedavg_window_28003_20260803_100825_701178,,VALID,
E1,Balanced,balanced_no_harm,TimeAlign-Agg,28003,RMSE_mu,7.670246903669197,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_flamf_timealign_adapted_28003_20260803_101006_365934,,VALID,
E1,Balanced,balanced_no_harm,TimeAlign-Agg,28003,MAE_mu,,MISSING_NOT_RECORDED,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_flamf_timealign_adapted_28003_20260803_101006_365934,,VALID,
E1,Balanced,balanced_no_harm,TimeAlign-Agg,28003,Tail_RMSE,8.3953733624835,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_flamf_timealign_adapted_28003_20260803_101006_365934,,VALID,
E1,Balanced,balanced_no_harm,TimeAlign-Agg,28003,Delta_group,0.17159960093116064,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_flamf_timealign_adapted_28003_20260803_101006_365934,,VALID,
E1,Balanced,balanced_no_harm,TimeAlign-Agg,28003,Delta_c_s,0.604553937994349,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_flamf_timealign_adapted_28003_20260803_101006_365934,,VALID,
E1,Balanced,balanced_no_harm,TimeAlign-Agg,28003,RMSE_rho,7.077222324751818,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_flamf_timealign_adapted_28003_20260803_101006_365934,,VALID,
