dataset,method,seed,comparison_class,RMSE_mu,Delta_group,Delta_c_s,paper_use
SensorScope,RAVEN-SimOracle,30004,SCI_COMPARABLE_MAIN,7.826693459008727,1.0469701810368823,1.2866440132920256,main
SensorScope,RAVEN-SimOracle,30005,SCI_COMPARABLE_MAIN,8.01642006732494,1.0116537046670278,1.2851806034530622,main
SensorScope,RAVEN-SimOracle,30006,SCI_COMPARABLE_MAIN,7.922593856132975,0.9918574905854042,1.2504532746200219,main
SensorScope,RAVEN-SimOracle,30007,SCI_COMPARABLE_MAIN,7.977260355375308,1.0175138320731034,1.2373051217088396,main
SensorScope,RAVEN-SimOracle,30008,SCI_COMPARABLE_MAIN,7.924260291856048,0.9374521892227778,1.2374090580335246,main
SensorScope,RAVEN-SimOracle,30009,SCI_COMPARABLE_MAIN,7.898069757702117,1.0196015960362081,1.2443916465971072,main
SensorScope,RAVEN-SimOracle,30010,SCI_COMPARABLE_MAIN,7.9749430801645875,1.040784204234663,1.3222059904967753,main
SensorScope,RAVEN-SimOracle,30011,SCI_COMPARABLE_MAIN,7.945272612755922,1.0397950765163653,1.2981058221756245,main
SensorScope,RAVEN-SimOracle,30012,SCI_COMPARABLE_MAIN,7.886282632095165,1.0016805979405212,1.284465535896646,main
SensorScope,RAVEN-SimOracle,30013,SCI_COMPARABLE_MAIN,7.968914114974906,1.0286804188329843,1.2617305040239084,main
SensorScope,RAVEN-SimOracle,30014,SCI_COMPARABLE_MAIN,7.93988863953587,1.0364925448694566,1.2901372999591376,main
SensorScope,RAVEN-SimOracle,30015,SCI_COMPARABLE_MAIN,7.931455157175274,1.0048415932930315,1.2671026563373504,main
SensorScope,RAVEN-SimOracle,30016,SCI_COMPARABLE_MAIN,7.979607334697195,0.9919827011358537,1.2920966437257397,main
SensorScope,RAVEN-SimOracle,30017,SCI_COMPARABLE_MAIN,7.983873986869776,1.0186311424044774,1.2530630936639071,main
SensorScope,RAVEN-SimOracle,30018,SCI_COMPARABLE_MAIN,7.9327050750571475,1.0548764738537895,1.29156383140011,main
SensorScope,RAVEN-SimOracle,30019,SCI_COMPARABLE_MAIN,7.985530588235937,0.9782254576134201,1.2648743775227544,main
SensorScope,RAVEN-SimOracle,30020,SCI_COMPARABLE_MAIN,7.959877618753752,1.0881659597158826,1.336516464424851,main
SensorScope,TwoStage-Hajek,30001,SCI_COMPARABLE_MAIN,7.894265663491522,1.0389365634028656,1.2416076010133024,main
SensorScope,TwoStage-Hajek,30002,SCI_COMPARABLE_MAIN,7.875661695052842,1.0217245509381843,1.2670956926554917,main
SensorScope,TwoStage-Hajek,30003,SCI_COMPARABLE_MAIN,7.883414549628482,0.993495612467219,1.2496956883341723,main
SensorScope,TwoStage-Hajek,30004,SCI_COMPARABLE_MAIN,7.80749755970464,1.0798258732997854,1.3051166998623058,main
SensorScope,TwoStage-Hajek,30005,SCI_COMPARABLE_MAIN,8.043574806861333,1.0306997510142821,1.3019577392518475,main
SensorScope,TwoStage-Hajek,30006,SCI_COMPARABLE_MAIN,7.908274698582147,1.0153215657144816,1.269557922606388,main
SensorScope,TwoStage-Hajek,30007,SCI_COMPARABLE_MAIN,7.969799259077954,1.0433348786080439,1.2686746949665535,main
SensorScope,TwoStage-Hajek,30008,SCI_COMPARABLE_MAIN,7.911893756322189,0.9498754676132524,1.2578887971765718,main
SensorScope,TwoStage-Hajek,30009,SCI_COMPARABLE_MAIN,7.921197028425847,1.0297062948790416,1.2697638859914673,main
SensorScope,TwoStage-Hajek,30010,SCI_COMPARABLE_MAIN,8.00406875901196,1.0464595394407494,1.341502760073598,main
SensorScope,TwoStage-Hajek,30011,SCI_COMPARABLE_MAIN,7.923369817284935,1.0563391054555795,1.3151976440165876,main
SensorScope,TwoStage-Hajek,30012,SCI_COMPARABLE_MAIN,7.869724292887455,0.9982472713709287,1.296954843132086,main
SensorScope,TwoStage-Hajek,30013,SCI_COMPARABLE_MAIN,7.937021578301567,1.0385954441188099,1.2770192968620262,main
SensorScope,TwoStage-Hajek,30014,SCI_COMPARABLE_MAIN,7.9102377367977965,1.062338885024925,1.314391233333091,main
SensorScope,TwoStage-Hajek,30015,SCI_COMPARABLE_MAIN,7.905632832490777,1.0176614078299218,1.2763363736587225,main
SensorScope,TwoStage-Hajek,30016,SCI_COMPARABLE_MAIN,7.9610518549182805,1.021673222968913,1.3155476542766722,main
SensorScope,TwoStage-Hajek,30017,SCI_COMPARABLE_MAIN,7.9897059930796965,1.0448198807740485,1.2727801945766553,main
SensorScope,TwoStage-Hajek,30018,SCI_COMPARABLE_MAIN,7.955215225703562,1.0753338814016637,1.30622580220018,main
SensorScope,TwoStage-Hajek,30019,SCI_COMPARABLE_MAIN,7.981601891519884,1.028053793244082,1.2973180031308102,main
SensorScope,TwoStage-Hajek,30020,SCI_COMPARABLE_MAIN,7.9640301237310895,1.1142301403617307,1.3752127470633733,main
NSW-Traffic,Central-All,30001,NOT_COMPARABLE_CROSS_VINTAGE,0.9640022607953328,,,reference_only
NSW-Traffic,Central-All,30002,NOT_COMPARABLE_CROSS_VINTAGE,0.9604749579744546,,,reference_only
NSW-Traffic,Central-All,30003,NOT_COMPARABLE_CROSS_VINTAGE,0.9607448672441151,,,reference_only
NSW-Traffic,Central-All,30004,NOT_COMPARABLE_CROSS_VINTAGE,0.9509398352092223,,,reference_only
NSW-Traffic,Central-All,30005,NOT_COMPARABLE_CROSS_VINTAGE,0.9634150669218584,,,reference_only
NSW-Traffic,Central-All,30006,NOT_COMPARABLE_CROSS_VINTAGE,0.9415812555921825,,,reference_only
NSW-Traffic,Central-All,30007,NOT_COMPARABLE_CROSS_VINTAGE,0.9686241240575365,,,reference_only
NSW-Traffic,Central-All,30008,NOT_COMPARABLE_CROSS_VINTAGE,0.9497734703493895,,,reference_only
NSW-Traffic,Central-All,30009,NOT_COMPARABLE_CROSS_VINTAGE,0.9630966063468357,,,reference_only
NSW-Traffic,Central-All,30010,NOT_COMPARABLE_CROSS_VINTAGE,0.9634106640984372,,,reference_only
